testDescription,className,ScreenShotName,enable,chopTop,chopBottom,chopLeft,chopRight
TestCase_01,YCOM_Regression_AccAndGroupCreation,accGroupPage,TRUE,,20,,8
TestCase_02,YCOM_Regression_AccAndGroupCreation,AccountsFinappHome,TRUE,,20,,8
TestCase_03,YCOM_Regression_AccAndGroupCreation,accSummaryPageWithData,TRUE,,20,,8
TestCase_04,YCOM_Regression_AccAndGroupCreation,AssetsAllocationHome,TRUE,,20,,8
TestCase_05,YCOM_Regression_AccAndGroupCreation,billRemainderFinapp,TRUE,,20,,8
TestCase_06,,BillReminderPage,TRUE,,20,,8
TestCase_07,,categoryPage,TRUE,,20,,8
TestCase_08,,categoryPage2,TRUE,,20,,8
TestCase_09,,CompareSpendingFinappHome,TRUE,,20,,8
TestCase_10,,CrediCardUtilizationPage,TRUE,,20,,8
TestCase_11,,DetailsTabInAccountFinapp,TRUE,,20,,8
TestCase_12,,ExpenseFinapp,TRUE,,20,,8
TestCase_13,,ExpensePage,TRUE,,20,,8
TestCase_14,,HoldingCrackView,TRUE,,20,,8
TestCase_15,,homePageWithoutData,TRUE,,20,,8
TestCase_16,,LiabilitiesAllocationHome,TRUE,,20,,8
TestCase_17,,MonthlyBudgetPage,TRUE,,20,,8
TestCase_18,,NetWorthFinappHome,TRUE,,20,,8
TestCase_19,,networthPage,TRUE,,20,,8
TestCase_20,,NetworthPerformanceFinApp,TRUE,,20,,8
TestCase_21,,PortfolioChangeFinApp,TRUE,,20,,8
TestCase_22,,PortofolioManagerPage,TRUE,,20,,8
TestCase_23,,RewardsFinapp,TRUE,,20,,8
TestCase_24,,RewardsPageHome,TRUE,,20,,8
TestCase_25,,SaveForGoal1,TRUE,,20,,8
TestCase_26,,SaveForGoalHome,TRUE,,20,,8
TestCase_27,,SaveForGoalPageHome,TRUE,,20,,8
TestCase_28,,TransactionFinapp,TRUE,,20,,8
TestCase_29,,TransactionPageAddTransaction,TRUE,,20,,8
TestCase_30,,TransactionPageAdvanceSearch,TRUE,,20,,8
TestCase_31,,TransactionPageHome,TRUE,,20,,8
TestCase_32,,TrendsFinapp,TRUE,,20,,8
